Asian_Man,"""Radio"""
Asian_Man,"""Bleeder"""
Asian_Man,"""San Francisco"""
Asian_Man,"""My Friend Peter"""
Asian_Man,"""'97"""
Asian_Man,"""Cooking Wine"""
Asian_Man,"""For Your Lungs Only"""
Asian_Man,"""Trouble Breathing"""
Asian_Man,"""Sorry About That"""
Asian_Man,"""As You Were"""
Asian_Man,"""Clavicle"""
Asian_Man,"""Fuck You Aurora"""
Asian_Man,"""Nose Over Tail"""
Asian_Man,"""My Little Needle"""
Asian_Man,"""Southern Rock"""
Asian_Man,"""Madam Me"""
Asian_Man,"""Sleepyhead"""
Asian_Man,"""Tuck Me In"""
Asian_Man,"""5-3-10-4"""
Dan_Song,"""Crawl"""
Dan_Song,"""Maybe I'll Catch Fire"""
Dan_Song,"""Emma"""
Dan_Song,"""Every Thug Needs a Lady"""
Dan_Song,"""Message from Kathlene"""
Dan_Song,"""We Can Never Break Up"""
Dan_Song,"""One Hundred Stories"""
Dan_Song,"""She Took Him to the Lake"""
Dan_Song,"""Enjoy Your Day"""
Dan_Song,"""You've Got So Far to Go"""
Dan_Song,"""I'm Dying Tomorrow"""
Dan_Song,"""This Is Getting Over You"""
Dan_Song,"""I Lied My Face Off"""
Dan_Song,"""Take Lots with Alcohol"""
Dan_Song,"""Another Innocent Girl"""
Dan_Song,"""If We Never Go Inside"""
Dan_Song,"""Settle for Satin"""
Dan_Song,"""I Was a Prayer"""
Dan_Song,"""Smoke"""
Epic_taph,"""Help Me"""
Epic_taph,"""In Vein"""
Epic_taph,"""Over and Out"""
Epic_taph,"""I Found Away"""
Epic_taph,"""Do You Wanna Know?"""
Epic_taph,"""Live Young, Die Fast"""
Epic_taph,"""Love Love, Kiss Kiss"""
Epic_taph,"""Lost and Rendered"""
Epic_taph,"""Ruin It"""
Epic_taph,"""Into the Night"""
Epic_taph,"""Dine, Dine My Darling"""
Epic_taph,"""Lead Poisoning"""
Epic_taph,"""Dead on the Floor"""
Epic_taph,"""The American Scream"""
Epic_taph,"""Off the Map"""
Epic_taph,"""Draculina"""
Epic_taph,"""Eating Me Alive"""
Epic_taph,"""Piss and Vinegar"""
Epic_taph,"""Dorothy"""
Epic_taph,"""Fine"""
Epic_taph,"""She Lied to the FBI"""
Epic_taph,"""I Wanna Be a Warhol"" "
Epic_taph,"""I'm Only Here to Disappoint"""
Epic_taph,"""Kiss You to Death"""
Epic_taph,"""The Temptation of St. Anthony"""
Epic_taph,"""I, Pessimist"""
Epic_taph,"""Only Love"""
Epic_taph,"""The Torture Doctor"""
Epic_taph,"""Midnight Blue"""
Epic_taph,"""One Last Dance"""
Epic_taph,"""Young Lovers"""
Epic_taph,"""Until Death Do Us Part"""
Epic_taph,"""Blackbird"""
Epic_taph,"""Demon and Division"""
Epic_taph,"""Little Help?"""
Epic_taph,"""I Can't Believe"""
Epic_taph,"""Sweet Vampires"""
Epic_taph,"""Pale Blue Ribbon"""
Epic_taph,"""Goodbye Fire Island"""
Epic_taph,"""Stay"""
Epic_taph,"""Heart Attacks"""
Epic_taph,"""Worn So Thin"""
Epic_taph,"""Throw Me to the Lions"""
Epic_taph,"""Krystalline"""
First_Songs,"""Cringe"""
First_Songs,"""This Could Be Love"""
First_Songs,"""Time to Waste"""
First_Songs,"""Is This Thing Cursed?"""
First_Songs,"""Goodbye Forever"""
First_Songs,"""Private Eye"""
First_Songs,"""Keep 'Em Coming"""
First_Songs,"""Calling All Skeletons"""
First_Songs,"""This Addiction"""
First_Songs,"""She Lied to the FBI"""
Remains,"""Jaked on Green Beers"""
Remains,"""Queen of Pain"""
Remains,"""Warbrain"""
Remains,"""Hell Yes"""
Remains,"""While You're Waiting"""
Remains,"""My Standard Break from Life"""
Remains,"""Old School Reasons"""
Remains,"""Don't Say You Won't"""
Vagrant,"""All on Black"""
Vagrant,"""Stupid Kid"""
Vagrant,"""We've Had Enough"""
Vagrant,"""Continental"""
Vagrant,"""You're Dead"""
Vagrant,"""Mr. Chainsaw"""
Vagrant,"""Mercy Me"""
Vagrant,"""Sadie"""
Vagrant,"""Steamer Trunk"""
Vagrant,"""Armageddon"""
Vagrant,"""Bloodied Up"""
Vagrant,"""Trucks and Trains"""
Vagrant,"""Fatally Yours"""
Vagrant,"""Blue Carolina"""
Vagrant,"""Donner Party (All Night)"""
Vagrant,"""Blue in the Face"""
Vagrant,"""Burn"""
Vagrant,"""Dethbed"""
Vagrant,"""Fall Victim"""
Vagrant,"""Prevent This Tragedy"""
Vagrant,"""Back to Hell"""
Vagrant,"""Your Neck"""
Wild_Card,"""Broken Wing"""
Wild_Card,"""Minds Like Minefields"""
Wild_Card,"""I Remember A Rooftop"""
Wild_Card,"""Burned Is The House"""
Wild_Card,"""In My Stomach"""
Wild_Card,"""Fire Down Below"""
Wild_Card,"""Angel Alcohol/Everywhere I Ever Want To Go"""
Wild_Card,"""Kick Rocks"""
Wild_Card,"""Those Lungs"""
Wild_Card,"""Weak Week"""
Wild_Card,"""Olde English 800"""
Wild_Card,"""Balanced on a Shelf"""
Wild_Card,"""Pocket Knife"""
Wild_Card,"""Sun Burns"""
Wild_Card,"""Radio Violence"""